cityName,country,lat,lng,temp,humidity,cloudiness,winds
Kapaa,US,22.08,-159.32,84.02,69,40,11.41
Georgetown,GY,6.8,-58.16,77.0,94,0,6.93
Hasaki,JP,35.73,140.83,78.69,83,75,5.82
Popondetta,PG,-8.77,148.24,76.99,68,56,2.48
Port Alfred,ZA,-33.59,26.89,61.33,97,0,7.18
Luderitz,NA,-26.65,15.16,57.82,86,0,3.04
Cayenne,GF,4.94,-52.33,77.0,100,0,2.24
San Jeronimo,PE,-13.65,-73.37,39.91,86,0,1.92
Chapada dos Guimaraes,BR,-15.46,-55.75,78.8,88,0,4.7
Colares,PT,38.8,-9.45,60.69,45,0,3.36
Wattegama,LK,7.35,80.68,76.36,94,64,4.27
Mataura,NZ,-46.19,168.86,56.02,75,0,7.52
Padang,ID,-0.92,100.36,81.04,100,92,1.92
Hobart,AU,-42.88,147.33,60.8,44,20,10.29
Broome,GB,52.47,1.45,53.26,100,88,1.12
Chokurdakh,RU,70.62,147.9,34.24,92,76,13.0
Vaini,IN,15.34,74.49,75.19,90,76,6.85
Geraldton,CA,49.72,-86.95,33.8,80,90,6.93
Jamestown,AU,-33.21,138.6,70.78,37,56,7.74
Port Elizabeth,US,39.31,-74.98,65.3,93,90,3.36
Alofi,NU,-19.06,-169.92,77.0,83,88,6.93
Barrow,AR,-38.31,-60.23,49.18,48,0,10.54
Cape Town,ZA,-33.93,18.42,59.0,87,0,10.29
Albany,US,42.65,-73.75,47.82,71,75,5.82
Harper,US,30.3,-99.24,77.32,68,90,13.11
Butaritari,KI,3.07,172.79,83.38,100,48,4.61
Chitungwiza,ZW,-18.01,31.07,51.43,83,0,8.75
Simpang,MY,4.82,100.71,84.2,74,75,3.36
San Cristobal,EC,-0.39,-78.55,53.6,87,40,12.75
Severo-Kurilsk,RU,50.68,156.12,47.56,87,32,22.28
Atuona,PF,-9.8,-139.03,80.41,100,44,12.88
Sulangan,PH,11.14,123.72,82.48,100,12,2.93
Buala,SB,-8.15,159.59,85.0,85,76,9.31
Codrington,AU,-28.95,153.24,62.05,100,92,3.27
Blytheville,US,35.93,-89.92,78.35,69,1,6.93
Saskylakh,RU,71.97,114.09,30.28,89,36,17.02
Ormara,PK,25.21,64.64,77.89,94,32,4.27
Bethel,US,60.79,-161.76,55.04,59,90,12.75
Beringovskiy,RU,63.05,179.32,45.76,100,92,18.81
Bathsheba,BB,13.22,-59.52,84.2,70,20,17.22
Tura,IN,25.52,90.21,82.39,81,0,2.71
Stolin,BY,51.89,26.85,42.07,83,0,10.31
Tuatapere,NZ,-46.13,167.69,52.51,87,0,12.44
Slonim,BY,53.09,25.32,41.26,92,8,9.53
Ola,RU,59.58,151.3,44.6,39,40,17.9
Ushuaia,AR,-54.81,-68.31,44.6,70,40,6.93
Busselton,AU,-33.64,115.35,60.79,100,68,10.76
Puerto Ayora,EC,-0.74,-90.35,69.52,100,0,11.43
Terre Haute,US,39.47,-87.41,74.26,88,1,6.93
Bluff,AU,-23.58,149.07,86.17,33,0,3.38
Rikitea,PF,-23.12,-134.97,66.28,100,100,9.42
Aklavik,CA,68.22,-135.01,29.44,74,75,5.82
Nikolskoye,RU,59.7,30.79,46.4,87,0,6.71
Paita,PE,-5.09,-81.11,62.41,93,0,5.06
Thompson,CA,55.74,-97.86,30.2,54,90,3.36
Lookan,PH,5.04,120.1,86.71,94,24,6.73
Lata,IN,30.78,78.62,54.13,77,0,1.92
Pontiac,US,42.64,-83.29,58.8,85,90,6.62
Kruisfontein,ZA,-34.0,24.73,58.36,89,0,8.19
